id,name,price
1,Блуза,270
2,Блуза шовкова,290
3,Джинси,350
4,Жилетка,270
5,Жилетка зі штучним утепленням,350
6,Жилетка пухова,400
7,Жилетка зі штучного хутра,400
8,Кардиган,300
9,Комбінезон дитячий,290
10,Комбінезон робочий,400
11,Комбінезон жіночий,400
12,Комбінезон лижний,500
13,Конверт для немовлят,300
14,Конверт для немовлят з утепленням,350
15,Корсет,220
16,Костюм спортивний (штани+кофта),500
17,Костюм (піджак+брюки/спідниця),600
18,Куртка зі штучним наповнювачем,450
19,Куртка тонка,400
20,"Куртка зі штучним напов. дитяча, до 128см",330
21,Куртка пухова,500
22,"Куртка пухова дитяча,до 128см",360
23,Майка,150
24,Мантія,290
25,"Пальто дитяче, до 128см",320
26,Пальто зимове довге,550
27,Пальто вовняне,550
28,Пальто,480
29,Плащ демісезонний,400
30,Плащ пуховий,550
31,Плащ зі штучним наповнювачем,500
32,Піджак/жакет,300
33,Піджак шкільний,260
34,Рукавиці текстильні,100
35,Рюкзак тектильний,220
36,Ряса/сутана,300
37,"Речі дитячі (піджаки/штани,светри),до 128см",200
38,"Речі для немовлят,до 80см",180
39,Сарафан шкільний,250
40,Светр,280
41,Сорочка чоловіча,210
42,Спальний мішок зі штучним наповнювачем,400
43,Спальний мішок пуховий,450
44,Спідниця,290
45,Спідниця вечірня,320
46,Спідниця плісова,300
47,Спідниця весільна,350
48,Сукня весільна,1200
49,Сукня вечірня,480
50,Сукня довга,350
51,Сукня коротка,300
52,Сукня дитяча святкова,300
53,Сумка текстильна,250
54,Фартух,150
55,Фата,150
56,Футболка/футболка поло,250
57,Халат робочий,210
58,Халат махровий,300
59,"Халат махровий дитячий, до 128см",250
60,Халат тонкий,250
61,Шапка,150
62,Шарф/шаль/хустка,150
63,Шорти/бриджі,220
64,Шляпа/кепка,170
65,Штани/брюки,320
66,Штани лижні,350
67,Штани шкільні,280
68,Штани спортивні,250
69,Штани дитячі з утепленням,250
70,"Ковдра зі штучним наповнювачем, 2сп, євро",460
71,"Ковдра зі штучним наповнювачем,1, 1.5",400
72,"Ковдра шерстяна, пухова 2сп, євро",570
73,"Ковдра шерстяна, пухова 1, 1.5",480
74,Подушка зі штучним наповнювачем 70*70см,430
75,Подушка зі штучним наповнювачем 50*70см,370
76,Подушка зі штучним наповнювачем 45*45см,250
77,Покривало шерстяне,390
78,Покривало штучне євро,410
79,Покривале флісове тонке,360
80,"Портьєра (бархат, велюр) за кв м",160
81,"Портьєра (бавовна, льон) за кв м",110
82,Тюль  за кв м,110
83,Ламбрекен,250
84,"Скатертини, серветки за 1 кг",150
85,Чохол на диван,450
86,Чохол на крісло,300
87,Чохол на матрац на замку,500
88,Чохол на матрац на ризинці,320
89,Іграшка м'яка плюшева велика до 1.5м,1400
90,Іграшка м'яка плюшева велика до 1м,900
91,Іграшка м'яка плюшева середня 40*40см,500
92,Іграшка м'яка плюшева мала 20*20см,220
93,Іграшковий костюм дорослий (1-2 частини),700
94,Іграшковий костюм (1-2 частини),400
95,Дублянка/шуба штучна,750
96,Шуба з натурального хутра,1100
97,Куртка замшева,1100
98,Кросівки тканеві,440
99,Кросівки шкіряні,540
100,Кросівки дитячі,340
101,"Килим натуральний, з довгим ворсом за кв м",150
102,Килим сінтетичний за кв м,130
103,Автокріскло дитяче,1000
104,Візок дитячій,1100
105,Чохол для дитячого візка,400
106,Чохол автомобільний (за 1шт),450
107,Валіза,850
108,Сумка дорожня,650
109,Ліжко для домашніх улюбленців,500
110,Постільна білизна і махрові рушники до 5 кг за 1 кг,95
111,Постільна білизна і махрові рушники більш 5 кг за 1 кг,75
112,Одяг об'ємом до 5кг однотипні за кольором і типом тканини,150
113,Одяг об'ємом більш 5кг однотипні за кольором і типом тканини,75
114,Прасування верхнього одягу,210
115,Прасування весільної сукні,310
116,"Прасування сорочки, брюк",90
117,"Прасування светра, спідниці, джинси",80
118,"Прасування футболка, майка, шорти",55
119,Підкрохмалювання,40
120,Видалення складних плям,50
121,Термінові замовлення,50%
122,Реставрація пухових подушок 40х40см,165
123,Реставрація пухових подушок 45х45,165
124,Реставрація пухових подушок 50х50,195
125,Реставрація пухових подушок 40х60,195
126,Реставрація пухових подушок 60х60,250
127,Реставрація пухових подушок 50х70,250
128,Реставрація пухових подушок 70х70,265
129,Реставрація пухових подушок 80х80,275
130,Реставрація пухових ковдр 110х140,1050
131,Реставрація пухових ковдр 140х205,1300
132,Реставрація пухових ковдр 160х210,1400
133,Реставрація пухових ковдр 170х205,1500
134,Реставрація пухових ковдр 215х200,1600
135,Реставрація пухових ковдр 220х240,2000
136,Чищення дивану прямого (книжка),1200
137,Диван кутовий 4 посадкових місця,1400
138,Диван кутовий 5 посадкових місць,1750
139,Крісло,600
140,Матрац односпальний (з обох боків),800
141,Матрац полуторний (з обох боків),1000
142,Матрац двоспальний (з обох боків),1200
143,Стілець (сидіння і спінка),150
144,Комп'ютерне крісло,200
145,Ковролін,70
146,Килимове покриття у помешканні,130
147,Спальне місце дивану,350
148,Подушки до дивану,100
149,"Килим натуральний, акрил, високий ворс",150